song_writer,song_name,lyrics,song_link
Harold Arlen,Get Happy Lyrics,"
                    Pack up your troubles and just get happy
Ya better chase all your cares away
Sing hallelujah, c'mon get happy
Get ready for the judgment day

The sun is shinin', c'mon get happy
The lord is waiting to take your hand
Shout hallelujah, c'mon get happy
We're goin' to the promised land

We're headin' 'cross the river
Gonna wash our sins in the tide
It's all so peaceful
On the other side

Forget your troubles and just get happy
Ya better chase all your cares away
Sing hallelujah, c'mon get happy
Get ready for the judgment day

The sun is shinin', c'mon get happy
The lord is waiting to take your hand
Shout hallelujah, c'mon get happy
We're goin' to the promised land

We're headin' 'cross the river
Wash our sins away in the tide
It's all so peaceful
On the other side



We're headin' 'cross the river
Wash our sins away in the tide
It's all so peaceful
On the other side

Forget your troubles and just get happy
Ya better chase your cares away!!
Sing hallelujah, c'mon get happy
Get ready for the judgment day                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/get+happy_20064348.html
Harold Arlen,"Get Happy, Song (used In ""9:15 Revue"") Lyrics","
                    Pack up your troubles and just get happy
Ya better chase all your cares away
Sing Hallelujah, c'mon get happy
Get ready for the judgment day

The sun is shinin', c'mon get happy
The Lord is waiting to take your hand
Shout Hallelujah, c'mon get happy
We're goin' to the Promised Land

We're headin' 'cross the river
Gonna wash our sins in the tide
It's all so peaceful
On the other side

Forget your troubles and just get happy
Ya better chase all your cares away
Sing Hallelujah, c'mon get happy
Get ready for the judgment day

The sun is shinin', c'mon get happy
The Lord is waiting to take your hand
Shout Hallelujah, c'mon get happy
We're goin' to the Promised Land

We're headin' 'cross the river
Wash our sins away in the tide
It's all so peaceful
On the other side

We're headin' 'cross the river
Wash our sins away in the tide
It's all so peaceful
On the other side

Forget your troubles and just get happy
Ya better chase your cares away
Sing Hallelujah, c'mon get happy
Get ready for the judgment day                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/get+happy+song+used+in+915+revue_21368521.html
Harold Arlen,Happiness Is A Thing Called Joe Lyrics,"
                    It seem like happiness is jus' a thing called joe
He got a smile that make the lilac wanna grow
He got a way that make the angels heave a sigh
When they know little joe's passing by
Sometime the cabin gloomy and the table bare
Soon he kiss me and it's christmas everywhere
Trouble fly away and life is easy go
Does he love me good? That's all I has to know
Seem like happiness is jus' a thing called joe

(repeat above)

Little joe, little joe... Little joe                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/happiness+is+a+thing+called+joe_20064367.html
Harold Arlen,Hooray For Love Lyrics,"
                    It's the wonder of the world, it's a rocket to the moon
It gets you high, it gets you low, but once you get that glow...

Here's to my best romance, here's to my worst romance
Here's to my first romance - ages ago
Here's to the boys I've kissed, and to complete the list
Here's to the boys who said ""no!""

Love, love, hooray for love
Who was ever too blase for love
Make this the night for love
If we have to fight, let's fight for love

Some sigh and cry for love
Ah, but in pa-ree they die for love
Some waste away for love
Just the same - hooray for love!



It's the rocket to the moon, with a touch of ""clare de lune""
It gets you high, it gets you low, but once you get that glow...

Some trust to fate for love,
Others have to take off weight for love
Some go berzerk for love
Loafers even go to work for love

Sad songs are sobbed for love
People have their noses bobbed for love
Some say we pay for love
Just the same - hooray for love!                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/hooray+for+love_20064369.html
Harold Arlen,I Gotta Right To Sing The Blues Lyrics,"
                    I got a right to sing the blues
I got a right to feel low down
I got a right to hang around
Down around the river

A certain man in this old town
Keeps draggin' my poor heart around
All I see for me
Is misery

I got a right to sing the blues
I got a right to moan and sigh
I got a right to sit and cry
Down around the river

I know the deep blue sea
Will soon be callin' me
It must be love
Say what you choose
I got a right to sing the blues                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/i+gotta+right+to+sing+the+blues_20064350.html
Harold Arlen,I've Got The World On A String Lyrics,"
                    I've got the world on a string
I'm sitting on a rainbow
Got the string around my finger
What a world, what a life - I'm in love

I've got a song that I sing
I can make the rain go
Any time I move my finger
Lucky me, can't you see - I'm in love

Life's a wonderful thing
As long as I hold the string
I'd be a silly so-and-so
If I should ever let her go                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/ive+got+the+world+on+a+string_20064335.html
Harold Arlen,Ill Wind Lyrics,"
                    Blow I'll wind, blow away
Let me rest today
You're blowin' me no good (no good)

Go I'll wind, go away
Skies are oh so gray
Around my neighborhood, and that's no good

You're only misleadin' the sunshine I'm needin'
Ain't that a shame
It's so hard to keep up with troubles that creep up
From out of nowhere, when love's to blame

So I'll wind, blow away
Let me rest today
You're blowin' me no good (no good)



You're only misleadin' the sunshine I'm needin'
Ain't that a shame
It's so hard to keep up with troubles that creep up
From out of nowhere, when love's to blame

So I'll wind, blow away
Let me rest today
You're blowin' me no good (no good)

Blow, I'll wind, blow.                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/ill+wind_10140628.html
Harold Arlen,Ill Wind (You're Blowing Me No Good) Lyrics,"
                    Blow ill wind, blow away
Let me rest today
You're blowin' me no good (no good)
Go ill wind, go away
Skies are oh so gray
around my neighborhood, and that's no good
You're only misleadin' the sunshine I'm needin'
Ain't that a shame
It's so hard to keep up with troubles that creep up
from out of nowhere, when love's to blame
So ill wind, blow away
Let me rest today
You're blowin' me no good (no good)

You're only misleadin' the sunshine I'm needin'
Ain't that a shame
It's so hard to keep up with troubles that creep up
from out of nowhere, when love's to blame
So ill wind, blow away
Let me rest today
You're blowin' me no good (no good)
Blow, ill wind, blow.                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/ill+wind+youre+blowing+me+no+good_20949121.html
Harold Arlen,It's Only A Paper Moon Lyrics,"
                    Music by harold arlen.
Lyrics by E. Y. (yip) harburg

I never feel a thing is real
When I'm away from you
Out of your embrace
The world's a temporary parking place

Mmm, mm, mm, mm
A bubble for a minute
Mmm, mm, mm, mm
You smile, the bubble has a rainbow in it

Say, it's only a paper moon
Sailing over a cardboard sea
But it wouldn't be make-believe
If you believed in me

Yes, it's only a canvas sky
Hanging over a muslin tree
But it wouldn't be make-believe
If you believed in me

Without your love
It's a honky-tonk parade
Without your love
It's a melody played in a penny arcade

It's a barnum and bailey world
Just as phony as it can be
But it wouldn't be make-believe
If you believed in me                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/its+only+a+paper+moon_20064353.html
Harold Arlen,Kickin' The Gong Around Lyrics,"
                    It was down in chinatown,
All the cokies laid around,
Some were high and some were mighty low;
There were millions on the floor
When a knock came on the door,
And there stood old smoky joe.

He was sweatin', cold and pale,
He was lookin' for his frail,
He was broke and all his junk ran out;
Nobody made a sound,
As he stood and looked around,
And then you hear old smoky shout:

Saying, ""tell me where is minnie?
My poor minnie!
Has she been here,
Kicking the gong around? ""

""if you don't know minnie,
She's tall and skinny,
She gets her pleasure
Kicking the gong around!""

[scat chorus]

""just tell her smoky joe
Was here and had to go.""
And as he departed,
The curtains parted,
And there stood minnie
Kicking the gong around!                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/kickin+the+gong+around_20064354.html
Harold Arlen,Last Night When We Were Young Lyrics,"
                    Last night when we were young
Love was a star, a song unsung
Life was so new, so real so right
Ages ago last night

Today the world is old
You flew away and time grew cold
Where is that star that shone so bright
Ages ago last night?

To think that spring had depended
On merely this: a look, a kiss
To think that something so splendid
Could slip away in one little daybreak

So now, let's reminisce
And recollect the sighs and the kisses
The arms that clung

When we were young last night                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/last+night+when+we+were+young_20064337.html
Harold Arlen,Let's Fall In Love Lyrics,"
                    We might have been meant for each other
To be or not to be, let our hearts discover
I have a feeling, it's a feeling I'm concealing - I don't know why
It's just a mental, incidental, sentimental - alibi
But I adore you, so strong for you
Why go on stalling, I am falling, love is calling - why be shy
Let's fall in love
Why shouldn't we fall in love
Our hearts are made of it, let's take a chance
Why be afraid of it
Let's close our eyes
And make our own paradise
Little we know of it, still we can try
To make a go of it
We might have been meant for each other
To be or not to be, let our hearts discover
Let's fall in love
Why shouldn't we fall in love
Now is the time for it, while we are young
Let's fall in love                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/lets+fall+in+love_20064355.html
Harold Arlen,Let's Take A Walk Around The Block Lyrics,"
                    I never traveled further north than old van courtland park
And never further south than the aquarium
I've seen the charm of jersey city, but first let me remark
I saw it from the empire state solarium

But we've been putting nickels in the postal savings bank
And when those nickels pile up, we can toddle off in swank
And I don't mean an ordinary cook's tour
I mean a cabin de-luxe tour

Someday we'll go places
New lands and new faces
The day we quit punching the clock
The future looks pleasant,
But at present
Let's take a walk around the block.

You're just the companion
I want at grand canyon
For throwing old blades down the rock
The money we have'll go for travel
Meantime, let's walk around the block.

Gangway, we'll begin
When our, ship comes in
I'll sit on your lap
All over the map

To london in may time
To venice in play time
To paris in time for a frock
To boston in bean time
Darling, meantime
Let's take a walk around the block.

[Bridge:]

In winter at christmas,
We'll visit the isthmus
And see how they lock up a lock
And then in caracas, on a jackass,
We'll take a ride around the block.

We'll keep to our promise,
To visit st. Thomas
And then at jamaica we'll dock
The prospect is thrilling,
Still I am willing,
Just now to talk around the block.

Onward, to cathay
Then to mandalay
Boom on to bangkok
P'r'aps vladivostok

We'll send the folks cables
Accumulate labels
Buy souvenirs till we're in hock
But since we are flat in old manhattan
Let's take a walk around the block.                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/lets+take+a+walk+around+the+block_20064370.html
Harold Arlen,My Shining Hour Lyrics,"
                    Y shining hour


This moment, this minute
And each second in it
Will leave a glow upon the sky
And as time goes by, it will never die

This will be my shining hour
Calm and happy and bright
In my dreams, your face will flower
Through the darkness of the night

Like the lights of home before me
Or an angel, watching o'er me
This will be my shining hour
'til I'm with you again



(like the lights of home before me)
(or an angel watching o'er me)
This will be my shining hour
'til I'm with you again                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/my+shining+hour_20064371.html
Harold Arlen,One For My Baby Lyrics,"
                    It's quarter to three, there's no one in the place
Except you and me
So set 'em' up joe, I got a little story
I think you should know
We're drinking my friend, to the end
Of a brief episode
Make it one for my baby
And one more for the road
I know the routine, put another nickel
In the machine
I feel kind of bad, can't you make the music
Easy and sad
I could tell you a lot, but it's not
In a gentleman's code
Make it one for my baby
And one more for the road
You'd never know it, but buddy I'm a kind of poet
And I've got a lot of things I'd like to say
And if I'm gloomy, please listen to me
Till it's talked away
Well that's how it goes, and joe I know your gettin'
Anxious to close
Thanks for the cheer
I hope you didn't mind
My bending your ear
But this torch that I found, it's gotta be drowned
Or it's gonna explode
Make it one for my baby
And one more for the road                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/one+for+my+baby_10140635.html
Harold Arlen,Optimistic Voices Lyrics,"
                    You're out of the woods, you're out of the dark, you're our of the night, 
Step into the sun, step into the light.
Keep straight ahead for the most glorious place on the face of the earth or the 
sky.
Hold onto your breath, hold onto your heart, hold onto your hope,
March up to that gate and bid it open.
",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/optimistic+voices_21368023.html
Harold Arlen,Out Of This World Lyrics,"
                    You're clear out of this world
When I'm looking at you
I hear out of this world
The music that no mortal ever knew

You're right out of a book
The fairy tale I read when I was five
No armored knight out of a book
Was more enchanted by a loralei
Then I

After waiting so long
For the right time
After reaching so long for a star
All at once from long and lonely night time
And despite time, here you are

I cry, ""out of this world""
If you said we were through
So let me fly out of this world
And spend the next eternity or two
With you                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/out+of+this+world_20064338.html
Harold Arlen,Over The Rainbow Lyrics,"
                    Somewhere over the rainbow
Way up high
There's a place that I heard of
Once in a lullaby

Somewhere over the rainbow
Skies are blue
And the dreams that you dare to dream
Really do come true

Some day I'll wish upon a star
And wake up where the clouds are far behind me
Where troubles melt like lemon drops
Away above the chimney tops
That's where you'll find me

Somewhere over the rainbow
Bluebirds fly
Birds fly over the rainbow
Why then oh why can't i?

If happy little bluebirds fly
Beyond the rainbow why
Oh why can't i?                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/over+the+rainbow_20064359.html
Harold Arlen,Sing My Heart Lyrics,"
                    Go on and sing my heart
You know it's spring my heart
So why not show it?

Pretend you're glad my heart
Although you're sad my heart
He mustn't know it

Remember, love is not an easy game
No two hearts ever beat quite the same

Go on and dance my heart
Our only chance my heart
Is to forget it

Should you despair my heart
He'll know we care my heart
And we'll regret it

If it's to be, we soon shall see
And if it's not to be,
No power on earth can make it so

Pretend it's spring my heart
Go on and sing my heart
For if you sing, he'll never know

(bridge)

Go on and dance my heart
Our only chance my heart
Is to forget it

Should you despair my heart
He'll know we care my heart
And we'll regret it

If it's to be, we soon shall see
And if it's not to be,
No power on earth can make it so

Pretend it's spring my heart
Go on and sing my heart
For if you sing, he'll never know                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/sing+my+heart_20064372.html
Harold Arlen,Smoke Rings Lyrics,"
                    Where do they go, the smoke rings I blow each night
What do they do
Those circles of blue and white?
Oh! why do they seem to pictures a dream above
Then why do they fade my phantom parade of love?

Where do they end, the smoke rings I send on high?
Where are they hurled 
When they've kissed the world goodbye!
Oh! I'd give my life to laugh at this strife below
I'd be a king I'd follow each ring I blow

Puff puff puff puff your cares away
Puff puff puff night and day
Blow blow them into air silky little rings
Blow, blow them ev'ry where give your troubles wings
What do they tell and what is the spell they cast
Some of them fall and seem to recall the past
But most of them rise away to the skies of blue
Oh little smoke rings I love                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/smoke+rings_21369259.html
Harold Arlen,Stormy Weather Lyrics,"
                    Don't know why
There's no sun up in the sky
Stormy weather
Since my man and I ain't together
Keeps raining all the time

Life is bare
Gloom and misery everywhere
Stormy weather
Just can't get my poor old self together
I'm weary all the time, the time
So weary all of the time

When he went away
The blues walked in and met me
If he stays away, old rocking chair will get me
All I do is pray
The lord above will let me
Walk in the sun once more

Can't go on
Everything I had is gone
Stormy weather
Since my man and I ain't together
Keeps raining all the time
Keeps raining all of the time

I walk around,
Heavy-hearted and sad
Night comes around
And I'm still feeling bad
Rain pourin' down
Blinding every hope I had
This pitter 'n patter 'n beatin' 'n spatterin' drivin' me mad

Love, love, love, love
This misery will be the end of me

[Bridge:]

When he went away
The blues walked in and met me
If he stays away, old rocking chair will get me
All I do is pray
The lord above will let me
Walk in the sun once more

Can't go on
Everything I had is gone
Stormy weather
Since my man and I ain't together
Keeps raining all the time, the time
Keeps raining all the time                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/stormy+weather_10140639.html
Harold Arlen,"Stormy Weather, Song (from The Cotton Club Parade Of 1933) Lyrics","
                    Don't know why
There's no sun up in the sky
Stormy weather
Since my gal and I ain't together
Keeps raining all the time
Life is bare
Gloom and misery everywhere
Stormy weather
Just can't get my poor old self together

I'm weary all the time
Every time
So weary all of the time
When she went away
The blues walked in and then they met me
If she stays away
That old rocking chair's bound to get me

All I do is pray
The lord above will let me
Just walk in that sun again 
Can't go on   
Everything I had is gone
Stormy Weather
Since my gal and I ain't together
Keeps raining all the time 
Keeps raining all of the time                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/stormy+weather+song+from+the+cotton+club+parade+of+1933_21367803.html
Harold Arlen,That Old Black Magic Lyrics,"
                    That old black magic has me in it's spell
That old black magic that you weave so well
Icy fingers up
And down my spine
The same old witchcraft when your eyes meet mine

The same old tingle that I feel
Inside
When that elevator starts it's ride
Down and down I go, round and round I go
Like a leaf that's
Caught in the tide

I should stay away but what can I do
I hear your name, and I'm aflame
Aflame with
Such a burning desire
That only your kiss can put out the fire

You are the lover that I've waited for

The mate that fate had me created for
And every time your lips meet mine

Baby down and down I go,
All around I go
In a spin, loving the spin that I'm in
Under that old black magic called love                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/that+old+black+magic_20064362.html
Harold Arlen,The Man That Got Away Lyrics,"
                    The night is bitter,
The stars have lost their glitter,
The winds grow colder,
And suddenly you're older
And all because of
The man that got away.

No more his eager call,
The writing's on the wall,
The dreams you dreamed have all
Gone astray.
The man that won you
Has run off and undone you.
That great beginning
Has seen it's final inning,
Don't know what happened
It's all a crazy game.

No more that all-time thrill
For you've been through the mill,
And never a new love will
Be the same.

Good riddance, good-bye.
Every trick of his you're on to -
But fools will be fools and where's he gone to?

The road gets rougher,
It's lonelier and tougher.
With hope you burn up,
Tomorrow he may turn up.
There's just no letup
The livelong night and day.

Ever since this world began
There is nothing sadder than
A one-man woman
Looking for the man that got away . . .



The road gets rougher,
It's lonelier and tougher.
With hope you burn up,
Tomorrow he may turn up.
There's just no letup
The livelong night and day.

Ever since this world began
There is nothing sadder than
A one-man woman
Looking for the man
The man that got away . . .

The man that got away . . .                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/the+man+that+got+away_20064373.html
Harold Arlen,This Time The Dream's On Me Lyrics,"
                    Somewhere, someday
We'll be close together, wait and see
Oh by the way,
This time the dream's on me

You'll take my hand
And you'll look at me adoringly
But as things stand
This time the dream's on me

It would be fun
To be certain that I'm the one
To know that I, at least, supply the shoulder you cry upon

To see you through
Till you're everything you want to be
It can't be true, but
This time the dream's on me

It can't be true, but,
This time the dream's on me.

It would be fun
To be certain that I'm the one
To know that I, at least, supply the shoulder you cry upon

To see you through
Till you're everything you want to be
It can't be true, but
This time the dream's on me                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/this+time+the+dreams+on+me_20064374.html
Harold Arlen,When The Sun Comes Out Lyrics,"
                    When the sun comes out
And that rain stops beatin' on my window pane
When the sun comes out
There'll be bluebirds 'round my door, singin' like they did before

That ol' storm broke out
And my man/gal walked off and left me in the rain
Though he's/she's gone I doubt
If he'll/she'll stay away for good,I'd stop livin' if he/she should

Love is funny, it's not always peaches, cream and honey
Just when everything looked bright and sunny
Suddenly the cyclone came, I'll never be the same

Til that sun comes out
And the rain stops beatin' on my window pane
If my heart holds out
Let it rain and let it pour, it may not be long before
There's a knockin' at my door
Then you'll know the one I love walked in
When the sun comes out                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/when+the+sun+comes+out_10140642.html
Harold Arlen,You're A Builder Upper Lyrics,"
                    You're a builder upper, a breaker downer;
A holder outer and I'm a giver iner.
Sad, but true, I'm a saparoo, too;
Taking it from a taker over like you

Don't know where I'm at-a, I'm just a this-a
Then I'm a that-a, a taker on the chiner.

My, my, my, what a weaky am I
To love you as I do.
Just when I'm ready to sob, 
You hand me a throb
And everything is hunky dory
and that's my story

Open your arms and I'm a stooge for your charms
You're a builder upper, a breaker downer,
A holder outer, and I'm a giver iner
Sad, but true, I love it, I do!
Being broken by a builder upper like you                ",https://www.lyricsfreak.com/h/harold+arlen/ + /h/harold+arlen/youre+a+builder+upper_21367459.html
Hoagy Carmichael,Am I Blue Lyrics,"
                    I'm just a man, a lonely man
Waiting on the weary shore
I'm just a man who's only human
One you should feel sorry for

It was a morning, long before dawn
Without a warning I found she was gone
How could she do it, why should she do it
She never done it before

Am I blue, am I blue
Ain't these tears in these eyes telling you
How can you ask me am I blue
Why, wouldn't you be too
If each plan with your woman
Done fell through

There was a time
When I was her only one
But now I'm the sad and lonely one, lonely
Was I gay, until today
Now she's gone, and we're through
Am I blue                ",https://www.lyricsfreak.com/h/hoagy+carmichael/ + /h/hoagy+carmichael/am+i+blue_21214407.html
Hoagy Carmichael,And Old Piano Plays The Blues Lyrics,"
                    The clock is striking, guess it must be two
My baby left me for somebody new
I've been here playing since she said we're through
An old piano plays the blues

The clock is striking, guess it must be three
My room is lonely as a room can be
I'm improvising on a memory
An old piano plays the blues

Each evening since we met, we were a close duet
>From dusk until the moon would glow
And though she's gone I find she's hangin' round my mind
I guess I'm not the kind to do a solo

The clock is striking, Lord it can't be four
Perhaps I'd better lock the downstairs door
The one I play for will be here no more
An old piano plays the blues

I guess I'd better lock the door
She won't be coming back no more
An old piano plays the blues
An old piano plays the blues.                ",https://www.lyricsfreak.com/h/hoagy+carmichael/ + /h/hoagy+carmichael/and+old+piano+plays+the+blues_21216297.html
Hoagy Carmichael,April In My Heart Lyrics,"
                    There's snowflakes in the sky
And geese are flying high
But it's April in my heart again
The devil got his due
Love's holiday is through
Love and I have made a happy start again
Through leaves lie on the ground
The world just turned around
It isn't Fall at all you see
It's Spring that I have found

There's frost in Central Park
At five it's almost dark
What's the difference
When you've heard love's sweet amend
There's snowflakes in the sky
And geese are flying high
But there's April in my heart again                ",https://www.lyricsfreak.com/h/hoagy+carmichael/ + /h/hoagy+carmichael/april+in+my+heart_21216305.html
